App,USD-NGN,EUR-NGN,GBP-NGN,CAD-NGN,NGN-USD,NGN-EUR,NGN-GBP,NGN-CAD
Send,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE
Afriex,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
Instarem,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Nala,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Profee,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Remitly,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
SendSprint,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
Sendwave,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TransferGo,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
Wise,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE